symbol,marketCap,trailingPE,trailingEps,returnOnEquity,profitMargins,dividendYield
600519.SS,2102232219648,31.76638,52.65,0.31242,0.50755,0.012999999
600036.SS,834236186624,6.3270674,5.32,0.15045,0.48303002,0.044699997
000858.SZ,643067346944,22.430517,7.34,0.24496001,0.36630002,0.0183
601166.SS,352747585536,4.4103894,3.85,0.11979,0.52378,0.060599998
603259.SS,199541850112,21.23053,3.21,0.2085,0.23438999,0.0139
300059.SZ,223107989504,25.581818,0.55,0.13196999,0.69682,0.0047999998
600900.SS,551268581376,23.226805,0.97,0.114259996,0.39551,0.036
000001.SZ,228989616128,5.267857,2.24,0.11083999,0.42844,0.0239
601398.SS,1633867530240,5.123711,0.97,0.10393,0.48896,0.057600003
000568.SZ,312297816064,27.448229,7.63,0.32526,0.42398,0.015700001
603288.SS,275027820544,44.733944,1.09,0.22534001,0.23972,0.014199999
600809.SS,256845545472,27.535763,7.41,0.4035,0.3245,0.0087
601919.SS,154405371904,1.8944544,5.59,0.4562,0.26764,0.1882
002142.SZ,176646029312,7.642857,3.5,0.14513,0.4859,0.0186
600436.SS,179084181504,68.13126,4.19,0.22341,0.28441998,0.0042
002304.SZ,205553418240,20.237389,6.74,0.20186001,0.31622,0.0219
002460.SZ,120547491840,6.5226336,9.72,0.46820998,0.42216,0.0047
002027.SZ,97629274112,33.8,0.2,0.15037,0.3093,0.042
601229.SS,88507736064,4.5808825,1.36,0.10264,0.60588,0.0634
600570.SS,77615407104,58.357143,0.7,0.19985001,0.20341,0.0023999999
002049.SZ,75806760960,27.8746,3.11,0.29539,0.36685002,0.0038
601088.SS,561866801152,8.502873,3.48,0.17792,0.21215001,0.0858
601009.SS,89783320576,5.528662,1.57,0.1299,0.52379,0.0531
601225.SS,171310645248,4.8016305,3.68,0.39506,0.20799999,0.0758
600926.SS,72764538880,7.217647,1.7,0.12874,0.51255,0.028499998
601100.SS,76426739712,30.64516,1.86,0.21183,0.28968,0.013099999
601939.SS,1151794151424,5.102362,1.27,0.114779994,0.48354998,0.0547
600989.SS,92253667328,16.337662,0.77,0.17013,0.20041001,0.0255
000596.SZ,114607800320,35.943066,6.85,0.18924,0.20053,0.009
300033.SZ,91422130176,52.65094,3.18,0.29247,0.46567002,0.015
688396.SS,70466404352,29.491714,1.81,0.120340005,0.24039,0.0037
600018.SS,125035610112,8.136363,0.66,0.13354999,0.49105,0.035
603392.SS,87316258816,16.91646,4.07,0.47946998,0.42657003,0.0166
603195.SS,89528844288,28.349297,3.55,0.2742,0.229,0.0335
